"Group","S","pVal","LUgroup","var","varGroup"
"DOCallsites",0.338848610585057,0.001,"allsites","DOC","Limnological"
"DOCwetDominated",0.42068075818552,0.001,"wetDominated","DOC","Limnological"
"DOCmixed",0.329220850192117,0.001,"mixed","DOC","Limnological"
"DOCagDominated",0.335654978859044,0.001,"agDominated","DOC","Limnological"
"A350allsites",0.136513962719369,0.012,"allsites","A350","DOM"
"A350agDominated",0.443021565488496,0.001,"agDominated","A350","DOM"
"BAallsites",0.443299309529795,0.001,"allsites","BA","DOM"
"BAmixed",0.463293351874202,0.001,"mixed","BA","DOM"
"BAagDominated",0.633496808008702,0.001,"agDominated","BA","DOM"
"C1allsites",0.581160784921855,0.001,"allsites","C1","DOM"
"C1wetDominated",0.952999190986251,0.001,"wetDominated","C1","DOM"
"C1mixed",0.506361324322397,0.001,"mixed","C1","DOM"
"C1agDominated",0.755627972456405,0.001,"agDominated","C1","DOM"
"C2allsites",0.684863844012756,0.001,"allsites","C2","DOM"
"C2wetDominated",0.978098708698151,0.001,"wetDominated","C2","DOM"
"C2mixed",0.646570647578085,0.001,"mixed","C2","DOM"
"C2agDominated",0.814065952107126,0.001,"agDominated","C2","DOM"
"C3allsites",0.621540817642974,0.001,"allsites","C3","DOM"
"C3wetDominated",0.915090452765133,0.001,"wetDominated","C3","DOM"
"C3mixed",0.476244790170378,0.001,"mixed","C3","DOM"
"C3agDominated",0.460039458381788,0.001,"agDominated","C3","DOM"
"C4allsites",0.27005583802935,0.001,"allsites","C4","DOM"
"C4wetDominated",0.877444104634047,0.003,"wetDominated","C4","DOM"
"C4mixed",0.16289464655582,0.001,"mixed","C4","DOM"
"C5allsites",0.743147395332513,0.001,"allsites","C5","DOM"
"C5wetDominated",0.898639096211597,0.001,"wetDominated","C5","DOM"
"C5mixed",0.690847123127856,0.001,"mixed","C5","DOM"
"C5agDominated",0.764163086457481,0.001,"agDominated","C5","DOM"
"C6allsites",0.655044783660583,0.001,"allsites","C6","DOM"
"C6wetDominated",0.960671125675362,0.001,"wetDominated","C6","DOM"
"C6mixed",0.603126930419638,0.001,"mixed","C6","DOM"
"C6agDominated",0.761139070668485,0.001,"agDominated","C6","DOM"
"C7allsites",0.209230798041874,0.001,"allsites","C7","DOM"
"C7mixed",0.174667786750984,0.002,"mixed","C7","DOM"
"E280allsites",0.481608634350978,0.001,"allsites","E280","DOM"
"E280mixed",0.532195390133717,0.001,"mixed","E280","DOM"
"E280agDominated",0.414499446758101,0.001,"agDominated","E280","DOM"
"HIX.OHNOallsites",0.328681841664591,0.005,"allsites","HIX","DOM"
"HIX.OHNOmixed",0.229452179259977,0.003,"mixed","HIX","DOM"
"HIX.OHNOagDominated",0.491597177995318,0.001,"agDominated","HIX","DOM"
"SRallsites",0.184688480842169,0.005,"allsites","SR","DOM"
"SRmixed",0.214931439779545,0.01,"mixed","SR","DOM"
"SRagDominated",0.609472650852891,0.001,"agDominated","SR","DOM"
"SUVA254allsites",0.485209699352164,0.001,"allsites","SUVA254","DOM"
"SUVA254mixed",0.542094674055633,0.001,"mixed","SUVA254","DOM"
"SUVA254agDominated",0.394838022804142,0.001,"agDominated","SUVA254","DOM"
"DOallsites",0.129709870640363,0.001,"allsites","DO","Limnological"
"DOwetDominated",0.223503871060627,0.002,"wetDominated","DO","Limnological"
"DOmixed",0.0907833403142357,0.009,"mixed","DO","Limnological"
"pHallsites",0.41186491953968,0.001,"allsites","pH","Limnological"
"pHwetDominated",0.407071909244497,0.001,"wetDominated","pH","Limnological"
"pHmixed",0.351901667012001,0.001,"mixed","pH","Limnological"
"SpCondallsites",0.55723986766781,0.001,"allsites","SPC","Limnological"
"SpCondmixed",0.560733454897853,0.001,"mixed","SPC","Limnological"
"SpCondagDominated",0.548885640630129,0.005,"agDominated","SPC","Limnological"
"TDNallsites",0.111839909542245,0.001,"allsites","TDN","Limnological"
"TDNwetDominated",0.199466213189707,0.007,"wetDominated","TDN","Limnological"
"TDNmixed",0.117500129104235,0.004,"mixed","TDN","Limnological"
"TDPallsites",0.603053793692147,0.001,"allsites","TDP","Limnological"
"TDPwetDominated",0.457059585089008,0.019,"wetDominated","TDP","Limnological"
"TDPmixed",0.65416902994626,0.001,"mixed","TDP","Limnological"
"TDPagDominated",0.3918713280894,0.001,"agDominated","TDP","Limnological"
"Tempallsites",0.840667619726106,0.001,"allsites","TMP","Physical"
"TempwetDominated",0.887972284834658,0.001,"wetDominated","TMP","Physical"
"Tempmixed",0.840511034721964,0.001,"mixed","TMP","Physical"
"TempagDominated",0.846871711790197,0.001,"agDominated","TMP","Physical"
"TPallsites",0.257351632529626,0.001,"allsites","TP","Limnological"
"TPmixed",0.233938147795905,0.001,"mixed","TP","Limnological"
"TPagDominated",0.44533035939096,0.001,"agDominated","TP","Limnological"
"TSSallsites",0.114191033369625,0.001,"allsites","TSS","Limnological"
"TSSmixed",0.0953103573349038,0.008,"mixed","TSS","Limnological"
"PC1allsites",0.328009013114077,0.001,"allsites","PC1","DOM"
"PC1mixed",0.292157254104047,0.011,"mixed","PC1","DOM"
"PC2allsites",0.713941601090728,0.001,"allsites","PC2","DOM"
"PC2wetDominated",0.903032944769636,0.001,"wetDominated","PC2","DOM"
"PC2mixed",0.620085917564422,0.001,"mixed","PC2","DOM"
"PC2agDominated",0.802006271487264,0.001,"agDominated","PC2","DOM"
